Source,County ID,County,SCC,General Emissions Description,Specific Emissions Description,PolName,Tons/day
NonRoad,49005,Cache,2270003050,Off-highway Vehicle Diesel,Other Material Handling Equipment,NOX,0.000967
NonRoad,49005,Cache,2270003050,Off-highway Vehicle Diesel,Other Material Handling Equipment,VOC,0.00016
NonRoad,49005,Cache,2270003050,Off-highway Vehicle Diesel,Other Material Handling Equipment,NH3,0
NonRoad,49005,Cache,2270003050,Off-highway Vehicle Diesel,Other Material Handling Equipment,SO2,0.000001
NonRoad,49005,Cache,2270003050,Off-highway Vehicle Diesel,Other Material Handling Equipment,PM10,0.000107
NonRoad,49005,Cache,2270003050,Off-highway Vehicle Diesel,Other Material Handling Equipment,PM2_5,0.000105
NonRoad,49005,Cache,2270003060,Off-highway Vehicle Diesel,AC\Refrigeration,CO,0.015589
NonRoad,49005,Cache,2270003060,Off-highway Vehicle Diesel,AC\Refrigeration,NOX,0.030347
NonRoad,49005,Cache,2270003060,Off-highway Vehicle Diesel,AC\Refrigeration,VOC,0.002048
NonRoad,49005,Cache,2270003060,Off-highway Vehicle Diesel,AC\Refrigeration,NH3,0
NonRoad,49005,Cache,2270003060,Off-highway Vehicle Diesel,AC\Refrigeration,SO2,0.00003
NonRoad,49005,Cache,2270003060,Off-highway Vehicle Diesel,AC\Refrigeration,PM10,0.001908
NonRoad,49005,Cache,2270003060,Off-highway Vehicle Diesel,AC\Refrigeration,PM2_5,0.00187
NonRoad,49005,Cache,2270003070,Off-highway Vehicle Diesel,Terminal Tractors,CO,0.00674
NonRoad,49005,Cache,2270003070,Off-highway Vehicle Diesel,Terminal Tractors,NOX,0.015032
NonRoad,49005,Cache,2270003070,Off-highway Vehicle Diesel,Terminal Tractors,VOC,0.001303
NonRoad,49005,Cache,2270003070,Off-highway Vehicle Diesel,Terminal Tractors,NH3,0
NonRoad,49005,Cache,2270003070,Off-highway Vehicle Diesel,Terminal Tractors,SO2,0.000024
NonRoad,49005,Cache,2270003070,Off-highway Vehicle Diesel,Terminal Tractors,PM10,0.00123
NonRoad,49005,Cache,2270003070,Off-highway Vehicle Diesel,Terminal Tractors,PM2_5,0.001205
NonRoad,49005,Cache,2270008005,Off-highway Vehicle Diesel,Airport Ground Support Equipment,CO,0.000027
NonRoad,49005,Cache,2270008005,Off-highway Vehicle Diesel,Airport Ground Support Equipment,NOX,0.000036
NonRoad,49005,Cache,2270008005,Off-highway Vehicle Diesel,Airport Ground Support Equipment,VOC,0.000002
NonRoad,49005,Cache,2270008005,Off-highway Vehicle Diesel,Airport Ground Support Equipment,NH3,0
NonRoad,49005,Cache,2270008005,Off-highway Vehicle Diesel,Airport Ground Support Equipment,SO2,0
NonRoad,49005,Cache,2270008005,Off-highway Vehicle Diesel,Airport Ground Support Equipment,PM10,0.000002
NonRoad,49005,Cache,2270008005,Off-highway Vehicle Diesel,Airport Ground Support Equipment,PM2_5,0.000002
NonRoad,49005,Cache,2270010010,Off-highway Vehicle Diesel,Other Oil Field Equipment,CO,0.002904
NonRoad,49005,Cache,2270010010,Off-highway Vehicle Diesel,Other Oil Field Equipment,NOX,0.010926
NonRoad,49005,Cache,2270010010,Off-highway Vehicle Diesel,Other Oil Field Equipment,VOC,0.000691
NonRoad,49005,Cache,2270010010,Off-highway Vehicle Diesel,Other Oil Field Equipment,NH3,0
NonRoad,49005,Cache,2270010010,Off-highway Vehicle Diesel,Other Oil Field Equipment,SO2,0.00001
NonRoad,49005,Cache,2270010010,Off-highway Vehicle Diesel,Other Oil Field Equipment,PM10,0.00046
NonRoad,49005,Cache,2270010010,Off-highway Vehicle Diesel,Other Oil Field Equipment,PM2_5,0.000451
NonRoad,49005,Cache,2275000000,Aircraft,Total,CO,2.1038
NonRoad,49005,Cache,2275000000,Aircraft,Total,NOX,0.013212
NonRoad,49005,Cache,2275000000,Aircraft,Total,VOC,0.23504
NonRoad,49005,Cache,2275000000,Aircraft,Total,NH3,0
NonRoad,49005,Cache,2275000000,Aircraft,Total,SO2,0.004771
NonRoad,49005,Cache,2275000000,Aircraft,Total,PM10,0.003824
NonRoad,49005,Cache,2275000000,Aircraft,Total,PM2_5,0.002638
NonRoad,49005,Cache,2285002006,Railroad Equipment,Line Haul Locomotives: Class I Operations,CO,0.018027
NonRoad,49005,Cache,2285002006,Railroad Equipment,Line Haul Locomotives: Class I Operations,NOX,0.086468
NonRoad,49005,Cache,2285002006,Railroad Equipment,Line Haul Locomotives: Class I Operations,VOC,0.003907
NonRoad,49005,Cache,2285002006,Railroad Equipment,Line Haul Locomotives: Class I Operations,NH3,0.000074
NonRoad,49005,Cache,2285002006,Railroad Equipment,Line Haul Locomotives: Class I Operations,SO2,0.001549
NonRoad,49005,Cache,2285002006,Railroad Equipment,Line Haul Locomotives: Class I Operations,PM10,0.002306
NonRoad,49005,Cache,2285002006,Railroad Equipment,Line Haul Locomotives: Class I Operations,PM2_5,0.002075
NonRoad,49005,Cache,2285002015,Railroad Equipment,Railway Maintenance,CO,0.000423
NonRoad,49005,Cache,2285002015,Railroad Equipment,Railway Maintenance,NOX,0.000597
NonRoad,49005,Cache,2285002015,Railroad Equipment,Railway Maintenance,VOC,0.000094
NonRoad,49005,Cache,2285002015,Railroad Equipment,Railway Maintenance,NH3,0
NonRoad,49005,Cache,2285002015,Railroad Equipment,Railway Maintenance,SO2,0
NonRoad,49005,Cache,2285002015,Railroad Equipment,Railway Maintenance,PM10,0.00007
NonRoad,49005,Cache,2285002015,Railroad Equipment,Railway Maintenance,PM2_5,0.000069
NonRoad,49005,Cache,2285004015,Railroad Equipment,Railway Maintenance,CO,0.001671
NonRoad,49005,Cache,2285004015,Railroad Equipment,Railway Maintenance,NOX,0.000027
NonRoad,49005,Cache,2285004015,Railroad Equipment,Railway Maintenance,VOC,0.000044
NonRoad,49005,Cache,2285004015,Railroad Equipment,Railway Maintenance,NH3,0
NonRoad,49005,Cache,2285004015,Railroad Equipment,Railway Maintenance,SO2,0
NonRoad,49005,Cache,2285004015,Railroad Equipment,Railway Maintenance,PM10,0.000001
NonRoad,49005,Cache,2285004015,Railroad Equipment,Railway Maintenance,PM2_5,0.000001
NonRoad,49005,Cache,2285006015,Railroad Equipment,Railway Maintenance,CO,0
NonRoad,49005,Cache,2285006015,Railroad Equipment,Railway Maintenance,NOX,0.000002
NonRoad,49005,Cache,2285006015,Railroad Equipment,Railway Maintenance,VOC,0.000001
NonRoad,49005,Cache,2285006015,Railroad Equipment,Railway Maintenance,NH3,0
NonRoad,49005,Cache,2285006015,Railroad Equipment,Railway Maintenance,SO2,0
NonRoad,49005,Cache,2285006015,Railroad Equipment,Railway Maintenance,PM10,0
NonRoad,49005,Cache,2285006015,Railroad Equipment,Railway Maintenance,PM2_5,0
Area,49005,Cache,2302002100,Food and Kindred Products: SIC 20,Conveyorized Charbroiling,CO,0.014795
Area,49005,Cache,2302002100,Food and Kindred Products: SIC 20,Conveyorized Charbroiling,NOX,0
Area,49005,Cache,2302002100,Food and Kindred Products: SIC 20,Conveyorized Charbroiling,VOC,0.004431
Area,49005,Cache,2302002100,Food and Kindred Products: SIC 20,Conveyorized Charbroiling,NH3,0
Area,49005,Cache,2302002100,Food and Kindred Products: SIC 20,Conveyorized Charbroiling,SO2,0
Area,49005,Cache,2302002100,Food and Kindred Products: SIC 20,Conveyorized Charbroiling,PM10,0.017711
Area,49005,Cache,2302002100,Food and Kindred Products: SIC 20,Conveyorized Charbroiling,PM2_5,0.017169
Area,49005,Cache,2302002200,Food and Kindred Products: SIC 20,Under-fired Charbroiling,CO,0.044384
Area,49005,Cache,2302002200,Food and Kindred Products: SIC 20,Under-fired Charbroiling,NOX,0
Area,49005,Cache,2302002200,Food and Kindred Products: SIC 20,Under-fired Charbroiling,VOC,0.013565
Area,49005,Cache,2302002200,Food and Kindred Products: SIC 20,Under-fired Charbroiling,NH3,0
Area,49005,Cache,2302002200,Food and Kindred Products: SIC 20,Under-fired Charbroiling,SO2,0
Area,49005,Cache,2302002200,Food and Kindred Products: SIC 20,Under-fired Charbroiling,PM10,0.11309
Area,49005,Cache,2302002200,Food and Kindred Products: SIC 20,Under-fired Charbroiling,PM2_5,0.10932
Area,49005,Cache,2302003000,Food and Kindred Products: SIC 20,Deep Fat Fying,CO,0
Area,49005,Cache,2302003000,Food and Kindred Products: SIC 20,Deep Fat Fying,NOX,0
Area,49005,Cache,2302003000,Food and Kindred Products: SIC 20,Deep Fat Fying,VOC,0.002197
Area,49005,Cache,2302003000,Food and Kindred Products: SIC 20,Deep Fat Fying,NH3,0
Area,49005,Cache,2302003000,Food and Kindred Products: SIC 20,Deep Fat Fying,SO2,0
Area,49005,Cache,2302003000,Food and Kindred Products: SIC 20,Deep Fat Fying,PM10,0
Area,49005,Cache,2302003000,Food and Kindred Products: SIC 20,Deep Fat Fying,PM2_5,0
Area,49005,Cache,2302003100,Food and Kindred Products: SIC 20,Flat Griddle Frying,CO,0.003808
Area,49005,Cache,2302003100,Food and Kindred Products: SIC 20,Flat Griddle Frying,NOX,0
Area,49005,Cache,2302003100,Food and Kindred Products: SIC 20,Flat Griddle Frying,VOC,0.00184
Area,49005,Cache,2302003100,Food and Kindred Products: SIC 20,Flat Griddle Frying,NH3,0
Area,49005,Cache,2302003100,Food and Kindred Products: SIC 20,Flat Griddle Frying,SO2,0
Area,49005,Cache,2302003100,Food and Kindred Products: SIC 20,Flat Griddle Frying,PM10,0.030696
Area,49005,Cache,2302003100,Food and Kindred Products: SIC 20,Flat Griddle Frying,PM2_5,0.023329
Area,49005,Cache,2302003200,Food and Kindred Products: SIC 20,Clamshell Griddle Frying,CO,0
Area,49005,Cache,2302003200,Food and Kindred Products: SIC 20,Clamshell Griddle Frying,NOX,0
Area,49005,Cache,2302003200,Food and Kindred Products: SIC 20,Clamshell Griddle Frying,VOC,0.000069
Area,49005,Cache,2302003200,Food and Kindred Products: SIC 20,Clamshell Griddle Frying,NH3,0
Area,49005,Cache,2302003200,Food and Kindred Products: SIC 20,Clamshell Griddle Frying,SO2,0
Area,49005,Cache,2302003200,Food and Kindred Products: SIC 20,Clamshell Griddle Frying,PM10,0.001912
Area,49005,Cache,2302003200,Food and Kindred Products: SIC 20,Clamshell Griddle Frying,PM2_5,0.00162
Area,49005,Cache,2302050000,Food and Kindred Products: SIC 20,Total,CO,0
Area,49005,Cache,2302050000,Food and Kindred Products: SIC 20,Total,NOX,0
Area,49005,Cache,2302050000,Food and Kindred Products: SIC 20,Total,VOC,0.3214
Area,49005,Cache,2302050000,Food and Kindred Products: SIC 20,Total,NH3,0
Area,49005,Cache,2302050000,Food and Kindred Products: SIC 20,Total,SO2,0
Area,49005,Cache,2302050000,Food and Kindred Products: SIC 20,Total,PM10,0
Area,49005,Cache,2302050000,Food and Kindred Products: SIC 20,Total,PM2_5,0
Area,49005,Cache,2305000000,Mineral Processes: SIC 32,Total,CO,0
Area,49005,Cache,2305000000,Mineral Processes: SIC 32,Total,NOX,0
Area,49005,Cache,2305000000,Mineral Processes: SIC 32,Total,VOC,0
Area,49005,Cache,2305000000,Mineral Processes: SIC 32,Total,NH3,0
Area,49005,Cache,2305000000,Mineral Processes: SIC 32,Total,SO2,0
Area,49005,Cache,2305000000,Mineral Processes: SIC 32,Total,PM10,0.3993
Area,49005,Cache,2305000000,Mineral Processes: SIC 32,Total,PM2_5,0.061732
Area,49005,Cache,2311010000,Construction: SIC 15 - 17,Total,CO,0
Area,49005,Cache,2311010000,Construction: SIC 15 - 17,Total,NOX,0
Area,49005,Cache,2311010000,Construction: SIC 15 - 17,Total,VOC,0
Area,49005,Cache,2311010000,Construction: SIC 15 - 17,Total,NH3,0
Area,49005,Cache,2311010000,Construction: SIC 15 - 17,Total,SO2,0
Area,49005,Cache,2311010000,Construction: SIC 15 - 17,Total,PM10,0.11205
Area,49005,Cache,2311010000,Construction: SIC 15 - 17,Total,PM2_5,0.02241
Area,49005,Cache,2311020000,Construction: SIC 15 - 17,Total,CO,0
Area,49005,Cache,2311020000,Construction: SIC 15 - 17,Total,NOX,0
Area,49005,Cache,2311020000,Construction: SIC 15 - 17,Total,VOC,0
Area,49005,Cache,2311020000,Construction: SIC 15 - 17,Total,NH3,0
Area,49005,Cache,2311020000,Construction: SIC 15 - 17,Total,SO2,0
Area,49005,Cache,2311020000,Construction: SIC 15 - 17,Total,PM10,0.07392
Area,49005,Cache,2311020000,Construction: SIC 15 - 17,Total,PM2_5,0.014784
Area,49005,Cache,2401001000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401001000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401001000,Surface Coating,Total: All Solvent Types,VOC,0.50096
Area,49005,Cache,2401001000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401001000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401001000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401001000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401005000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401005000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401005000,Surface Coating,Total: All Solvent Types,VOC,0.092077
Area,49005,Cache,2401005000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401005000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401005000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401005000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401015000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401015000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401015000,Surface Coating,Total: All Solvent Types,VOC,0.037447
Area,49005,Cache,2401015000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401015000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401015000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401015000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401020000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401020000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401020000,Surface Coating,Total: All Solvent Types,VOC,0.081543
Area,49005,Cache,2401020000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401020000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401020000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401020000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401030000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401030000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401030000,Surface Coating,Total: All Solvent Types,VOC,0.00847
Area,49005,Cache,2401030000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401030000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401030000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401030000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401045000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401045000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401045000,Surface Coating,Total: All Solvent Types,VOC,0.037891
Area,49005,Cache,2401045000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401045000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401045000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401045000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401055000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401055000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401055000,Surface Coating,Total: All Solvent Types,VOC,0.01292
Area,49005,Cache,2401055000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401055000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401055000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401055000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401070000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401070000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401070000,Surface Coating,Total: All Solvent Types,VOC,0.031858
Area,49005,Cache,2401070000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401070000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401070000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401070000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401075000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401075000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401075000,Surface Coating,Total: All Solvent Types,VOC,0.000222
Area,49005,Cache,2401075000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401075000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401075000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401075000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401090000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401090000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401090000,Surface Coating,Total: All Solvent Types,VOC,0.5857
Area,49005,Cache,2401090000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401090000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401090000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401090000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401100000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401100000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401100000,Surface Coating,Total: All Solvent Types,VOC,0.19931
Area,49005,Cache,2401100000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401100000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401100000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401100000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2401200000,Surface Coating,Total: All Solvent Types,CO,0
Area,49005,Cache,2401200000,Surface Coating,Total: All Solvent Types,NOX,0
Area,49005,Cache,2401200000,Surface Coating,Total: All Solvent Types,VOC,0.001268
Area,49005,Cache,2401200000,Surface Coating,Total: All Solvent Types,NH3,0
Area,49005,Cache,2401200000,Surface Coating,Total: All Solvent Types,SO2,0
Area,49005,Cache,2401200000,Surface Coating,Total: All Solvent Types,PM10,0
Area,49005,Cache,2401200000,Surface Coating,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2415000000,Degreasing,Total: All Solvent Types,CO,0
Area,49005,Cache,2415000000,Degreasing,Total: All Solvent Types,NOX,0
Area,49005,Cache,2415000000,Degreasing,Total: All Solvent Types,VOC,0.31864
Area,49005,Cache,2415000000,Degreasing,Total: All Solvent Types,NH3,0
Area,49005,Cache,2415000000,Degreasing,Total: All Solvent Types,SO2,0
Area,49005,Cache,2415000000,Degreasing,Total: All Solvent Types,PM10,0
Area,49005,Cache,2415000000,Degreasing,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2420000000,Dry Cleaning,Total: All Solvent Types,CO,0
Area,49005,Cache,2420000000,Dry Cleaning,Total: All Solvent Types,NOX,0
Area,49005,Cache,2420000000,Dry Cleaning,Total: All Solvent Types,VOC,0.001504
Area,49005,Cache,2420000000,Dry Cleaning,Total: All Solvent Types,NH3,0
Area,49005,Cache,2420000000,Dry Cleaning,Total: All Solvent Types,SO2,0
Area,49005,Cache,2420000000,Dry Cleaning,Total: All Solvent Types,PM10,0
Area,49005,Cache,2420000000,Dry Cleaning,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2425000000,Graphic Arts,Total: All Solvent Types,CO,0
Area,49005,Cache,2425000000,Graphic Arts,Total: All Solvent Types,NOX,0
Area,49005,Cache,2425000000,Graphic Arts,Total: All Solvent Types,VOC,0.29243
Area,49005,Cache,2425000000,Graphic Arts,Total: All Solvent Types,NH3,0
Area,49005,Cache,2425000000,Graphic Arts,Total: All Solvent Types,SO2,0
Area,49005,Cache,2425000000,Graphic Arts,Total: All Solvent Types,PM10,0
Area,49005,Cache,2425000000,Graphic Arts,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2460100000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2460100000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2460100000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,VOC,0.32184
Area,49005,Cache,2460100000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NH3,0
Area,49005,Cache,2460100000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2460100000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2460100000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2460200000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2460200000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2460200000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,VOC,0.3049
Area,49005,Cache,2460200000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NH3,0.00847
Area,49005,Cache,2460200000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2460200000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2460200000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2460400000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2460400000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2460400000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,VOC,0.23037
Area,49005,Cache,2460400000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NH3,0
Area,49005,Cache,2460400000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2460400000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2460400000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2460500000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2460500000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2460500000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,VOC,0.09427
Area,49005,Cache,2460500000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NH3,0
Area,49005,Cache,2460500000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2460500000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2460500000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2460600000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2460600000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2460600000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,VOC,0.096552
Area,49005,Cache,2460600000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NH3,0
Area,49005,Cache,2460600000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2460600000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2460600000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2460900000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2460900000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2460900000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,VOC,0.011857
Area,49005,Cache,2460900000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,NH3,0
Area,49005,Cache,2460900000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2460900000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2460900000,Miscellaneous Non-industrial: Consumer and Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2461021000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2461021000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2461021000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,VOC,0.017912
Area,49005,Cache,2461021000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,NH3,0
Area,49005,Cache,2461021000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2461021000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2461021000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2461160000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,CO,0
Area,49005,Cache,2461160000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,NOX,0
Area,49005,Cache,2461160000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,VOC,0.000035
Area,49005,Cache,2461160000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,NH3,0
Area,49005,Cache,2461160000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,SO2,0
Area,49005,Cache,2461160000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,PM10,0
Area,49005,Cache,2461160000,Miscellaneous Non-industrial: Commercial,Total: All Solvent Types,PM2_5,0
Area,49005,Cache,2501050120,Petroleum and Petroleum Product Storage,Gasoline,CO,0
Area,49005,Cache,2501050120,Petroleum and Petroleum Product Storage,Gasoline,NOX,0
Area,49005,Cache,2501050120,Petroleum and Petroleum Product Storage,Gasoline,VOC,0.044236
Area,49005,Cache,2501050120,Petroleum and Petroleum Product Storage,Gasoline,NH3,0
Area,49005,Cache,2501050120,Petroleum and Petroleum Product Storage,Gasoline,SO2,0
Area,49005,Cache,2501050120,Petroleum and Petroleum Product Storage,Gasoline,PM10,0
Area,49005,Cache,2501050120,Petroleum and Petroleum Product Storage,Gasoline,PM2_5,0
Area,49005,Cache,2501060050,Petroleum and Petroleum Product Storage,Stage 1: Total,CO,0
Area,49005,Cache,2501060050,Petroleum and Petroleum Product Storage,Stage 1: Total,NOX,0
Area,49005,Cache,2501060050,Petroleum and Petroleum Product Storage,Stage 1: Total,VOC,0.015221
