Source,County ID,County,SCC,General Emissions Description,Specific Emissions Description,PolName,Tons/day
Area,49003,Box Elder,2104005000,Residential,Total: All Combustor Types,NOX,0.001336
Area,49003,Box Elder,2104005000,Residential,Total: All Combustor Types,VOC,0.000053
Area,49003,Box Elder,2104005000,Residential,Total: All Combustor Types,NH3,0.000059
Area,49003,Box Elder,2104005000,Residential,Total: All Combustor Types,SO2,0.003206
Area,49003,Box Elder,2104005000,Residential,Total: All Combustor Types,PM10,0.00012
Area,49003,Box Elder,2104005000,Residential,Total: All Combustor Types,PM2_5,0.000096
Area,49003,Box Elder,2104006000,Residential,Total: All Combustor Types,CO,0.083084
Area,49003,Box Elder,2104006000,Residential,Total: All Combustor Types,NOX,0.19521
Area,49003,Box Elder,2104006000,Residential,Total: All Combustor Types,VOC,0.011422
Area,49003,Box Elder,2104006000,Residential,Total: All Combustor Types,NH3,0.041534
Area,49003,Box Elder,2104006000,Residential,Total: All Combustor Types,SO2,0.001246
Area,49003,Box Elder,2104006000,Residential,Total: All Combustor Types,PM10,0.00108
Area,49003,Box Elder,2104006000,Residential,Total: All Combustor Types,PM2_5,0.000893
Area,49003,Box Elder,2104007000,Residential,Total: All Combustor Types,CO,0.007602
Area,49003,Box Elder,2104007000,Residential,Total: All Combustor Types,NOX,0.026805
Area,49003,Box Elder,2104007000,Residential,Total: All Combustor Types,VOC,0.001043
Area,49003,Box Elder,2104007000,Residential,Total: All Combustor Types,NH3,0
Area,49003,Box Elder,2104007000,Residential,Total: All Combustor Types,SO2,0.000114
Area,49003,Box Elder,2104007000,Residential,Total: All Combustor Types,PM10,0.000099
Area,49003,Box Elder,2104007000,Residential,Total: All Combustor Types,PM2_5,0.000081
Area,49003,Box Elder,2104008010,Residential,Woodstoves: General,CO,2.3764
Area,49003,Box Elder,2104008010,Residential,Woodstoves: General,NOX,0.041119
Area,49003,Box Elder,2104008010,Residential,Woodstoves: General,VOC,0.43374
Area,49003,Box Elder,2104008010,Residential,Woodstoves: General,NH3,0.019459
Area,49003,Box Elder,2104008010,Residential,Woodstoves: General,SO2,0.006738
Area,49003,Box Elder,2104008010,Residential,Woodstoves: General,PM10,0.34174
Area,49003,Box Elder,2104008010,Residential,Woodstoves: General,PM2_5,0.34126
Area,49003,Box Elder,2104008030,Residential,Catalytic Woodstoves: General,CO,0.065428
Area,49003,Box Elder,2104008030,Residential,Catalytic Woodstoves: General,NOX,0.001253
Area,49003,Box Elder,2104008030,Residential,Catalytic Woodstoves: General,VOC,0.009397
Area,49003,Box Elder,2104008030,Residential,Catalytic Woodstoves: General,NH3,0.000564
Area,49003,Box Elder,2104008030,Residential,Catalytic Woodstoves: General,SO2,0.000251
Area,49003,Box Elder,2104008030,Residential,Catalytic Woodstoves: General,PM10,0.01278
