,Day,,,,,,,,,1h
Date,Time,Percent,#,Spacing,# >60 dB,# >50 dB,Longest,Loudest,dB at Source,
3/15/26,8m 18s,13.8333333333333,21,0h 2m 51s 429ms,2,6,111,64,,
