,Day,,,,,,,,,Last week,,,,,,,Day of Week,,,,,,
Date,Time,Percent,#,Spacing,# >60 dB,# >50 dB,Longest,Loudest,dB at Source,Avg time,Avg Percent,Avg Spacing,Avg dB,Total >60 dB,Total >50 dB,Day of Week,dB,Time,%,#,>50,>60,
12/4,59s,1.63888888888889,6,0h 10m,0,0,13,49,85,3m 5s,5.14814814814815,0:07:30,53,0,15,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
12/5,5m 11s,8.63888888888889,19,0h 3m 9s 474ms,0,4,50,58,94,3m 23s,5.6468253968254,0:06:53,53.7142857142857,0,19,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
12/6,3m 1s,5.02777777777778,13,0h 4m 36s 923ms,1,2,55,67,103,2m 58s,4.93650793650794,0:07:04,55.2857142857143,1,17,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
12/7,1m 44s,2.88888888888889,6,0h 10m,0,1,27,53,89,2m 24s,4,0:07:32,55.4285714285714,1,17,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
12/8,37s,1.02777777777778,5,0h 12m,0,0,9,49,85,2m 12s,3.65476190476191,0:07:49,54.7142857142857,1,15,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
12/9,1m 9s,1.91666666666667,7,0h 8m 34s 286ms,0,3,22,57,93,2m 6s,3.49603174603175,0:07:59,55.4285714285714,1,15,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
12/10,1m 59s,3.30555555555556,11,0h 5m 27s 273ms,0,3,27,55,91,2m 6s,3.49206349206349,0:07:41,55.4285714285714,1,13,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
12/11,1m 44s,2.88888888888889,8,0h 7m 30s,0,4,26,53,89,2m 12s,3.67063492063492,0:07:20,56,1,17,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
12/12,3m 30s,5.83333333333333,13,0h 4m 36s 923ms,0,3,58,59,95,1m 58s,3.26984126984127,0:07:32,56.1428571428571,1,16,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
12/13,3m 35s,5.97222222222222,15,0h 4m,1,7,31,61,97,2m 3s,3.40476190476191,0:07:27,55.2857142857143,1,21,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
12/14,2m 39s,4.41666666666667,12,0h 5m,0,2,42,57,93,2m 10s,3.62301587301587,0:06:44,55.8571428571429,1,22,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
12/15,2m 15s,3.87931034482759,6,9m 40s,1,3,42,65,101,2m 24s,4.0303776683087,0:06:24,58.1428571428571,2,25,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,58m
12/16,5m 32s,9.22222222222222,8,0h 7m 30s,1,5,135,62,98,3m 2s,5.0740284619595,0:06:15,58.8571428571429,3,27,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
12/17,1m 35s,2.63888888888889,7,0h 8m 34s 286ms,1,2,44,65,101,2m 59s,4.9787903667214,0:06:42,60.2857142857143,4,26,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
12/18,5m 52s,9.77777777777778,19,0h 3m 9s 474ms,0,3,125,53,89,3m 34s,5.96291735084839,0:06:04,60.2857142857143,4,25,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
12/19,4m 19s,7.19444444444444,19,0h 3m 9s 474ms,0,3,47,56,92,3m 41s,6.15736179529283,0:05:52,59.8571428571429,4,25,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
12/20,,,,,,,,,,,,,,,,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
12/21,1m 38s,2.72222222222222,7,0h 8m 34s 286ms,0,2,57,57,93,3m 32s,5.90581098339719,0:06:46,59.6666666666667,3,18,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
12/22,1m 10s,1.94444444444444,4,0h 15m,0,1,33,53,89,3m 21s,5.58333333333333,0:07:40,57.6666666666667,2,16,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
12/23,5m 4s,8.44444444444444,13,0h 4m 36s 923ms,1,6,53,68,104,3m 16s,5.4537037037037,0:07:11,58.6666666666667,2,17,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
12/24,,,,,,,,,,,,,,,,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
12/25,1m 32s,2.55555555555556,6,0h 10m,0,2,34,57,93,2m 45s,4.57222222222222,0:08:16,58.2,1,14,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
12/26,31s,1.32478632478632,3,13m,0,1,23,52,88,1m 59s,3.3982905982906,0:10:14,57.4,1,12,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,39m
12/27,4m 1s,6.69444444444444,16,0h 3m 45s,0,2,41,56,92,2m 19s,3.94764957264957,0:09:09,57.1666666666667,1,14,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
12/28,2m 30s,4.16666666666667,6,0h 10m,0,1,58,57,93,2m 28s,4.18839031339031,0:09:24,57.1666666666667,1,13,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
12/29,1m 7s,1.86111111111111,2,0h 30m,0,0,40,45,81,2m 28s,4.17450142450142,0:11:54,55.8333333333333,1,12,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
12/30,3m 13s,5.36111111111111,9,0h 6m 40s,2,2,45,63,99,2m 9s,3.66061253561254,0:12:14,55,2,8,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
12/31,7m 46s,12.9444444444444,19,0h 3m 9s 474ms,1,3,97,62,98,2m 57s,4.98687423687423,0:10:56,56,3,11,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
1/1,12s,0.333333333333333,1,1h,0,0,12,49,85,2m 46s,4.66941391941391,0:18:05,54.8571428571429,3,9,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
1/2,5m,8.33333333333333,10,0h 6m,0,1,111,52,88,3m 24s,5.67063492063491,0:17:05,54.8571428571429,3,9,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
1/3,5m 7s,8.82183908045977,14,4m 8s 571ms,0,1,144,53,89,3m 34s,5.97454844006567,0:17:08,54.4285714285714,3,8,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,58m
1/4,5m 10s,8.61111111111111,11,0h 5m 27s 273ms,0,1,52,56,92,3m 56s,6.60946907498631,0:16:29,54.2857142857143,3,8,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
1/5,4m 56s,8.22222222222222,12,0h 5m,1,2,60,63,99,4m 29s,7.51819923371647,0:12:55,56.8571428571429,4,10,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
1/6,3m 7s,5.19444444444444,13,0h 4m 36s 923ms,0,1,43,55,91,4m 28s,7.49438970990694,0:12:37,55.7142857142857,2,9,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
1/7,,,,,,,,,,,,,,,,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
1/8,5m,8.33333333333333,15,0h 4m,3,4,48,64,100,4m 43s,7.91938058748403,0:04:52,57.1666666666667,4,10,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
1/9,11m 4s,20.1212121212121,22,2m 30s,3,9,60,68,104,5m 44s,9.8840270521305,0:04:17,59.8333333333333,7,18,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,55m
1/10,3m 41s,6.13888888888889,13,0h 4m 36s 923ms,0,5,33,55,91,5m 30s,9.43686868686868,0:04:22,60.1666666666667,7,22,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
1/11,,,,,,,,,,,,,,,,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
1/12,,,,,,,,,,,,,,,,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
1/13,4m 37s,7.69444444444444,14,0h 4m 17s 143ms,0,4,42,54,90,6m 6s,10.5719696969697,0:03:51,60.25,6,22,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
1/14,8m 17s,13.8055555555556,12,0h 5m,3,8,110,71,107,6m 32s,11.2186868686869,0:04:05,62.4,9,30,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
1/15,3m 18s,5.5,11,0h 5m 27s 273ms,0,3,41,55,91,6m 11s,10.6520202020202,0:04:22,60.6,6,29,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
1/16,2m 23s,3.97222222222222,9,0h 6m 40s,0,1,36,53,89,4m 27s,7.42222222222223,0:05:12,57.6,3,21,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
1/17,4m,6.66666666666667,8,0h 7m 30s,2,3,53,68,104,4m 31s,7.52777777777779,0:05:47,60.2,5,19,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
1/18,4m 45s,7.91666666666667,14,0h 4m 17s 143ms,1,6,61,62,98,4m 33s,7.5925925925926,0:05:32,60.5,6,25,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
1/19,,,,,,,,,,,,,,,,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
1/20,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
1/21,1m 54s,3.16666666666667,9,0h 6m 40s,0,1,21,50,86,3m 16s,5.44444444444445,0:06:07,57.6,3,14,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
1/22,3m 42s,6.16666666666667,14,0h 4m 17s 143ms,0,6,30,57,93,3m 21s,5.57777777777778,0:05:53,58,3,17,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
1/23,4m 32s,7.55555555555556,15,0h 4m,1,5,42,69,105,3m 47s,6.29444444444445,0:05:21,61.2,4,21,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
1/24,,,,,,,,,,,,,,,,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
1/25,,,,,,,,,,,,,,,,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
1/26,,,,,,,,,,,,,,,,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
1/27,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
1/28,,,,,,,,,,,,,,,,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
1/29,,,,,,,,,,,,,,,,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
1/30,,,,,,,,,,,,,,,,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
1/31,3m 12s,8.64864864864865,13,2m 50s 769ms,0,4,50,56,92,3m 12s,8.64864864864865,0:02:51,56,0,4,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,37m
2/1,4m 48s,8,12,0h 5m,2,6,78,63,99,4m 0s,8.32432432432433,0:03:55,59.5,2,10,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
2/2,1m 55s,3.19444444444444,7,0h 8m 34s 286ms,0,0,31,48,84,3m 18s,6.61436436436436,0:05:28,55.6666666666667,2,10,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
2/3,4m 56s,8.22222222222222,16,0h 3m 45s,0,5,41,57,93,3m 43s,7.01632882882883,0:05:03,56,2,15,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
2/4,6m 3s,10.0833333333333,12,0h 5m,0,4,83,57,93,4m 11s,7.62972972972972,0:05:02,56.2,2,19,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
2/5,2m 49s,4.69444444444444,8,0h 7m 30s,1,5,35,61,97,3m 57s,7.14051551551551,0:05:27,57,3,24,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
2/6,8m 31s,14.1944444444444,18,0h 3m 20s,0,5,124,54,90,4m 36s,8.14821964821964,0:05:09,56.5714285714286,3,29,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
2/7,5m 13s,8.69444444444444,11,0h 5m 27s 273ms,0,2,85,59,95,4m 54s,8.15476190476189,0:05:31,57,3,27,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
2/8,7m 37s,12.6944444444444,23,0h 2m 36s 522ms,2,6,60,65,101,5m 18s,8.82539682539681,0:05:10,57.2857142857143,3,27,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
2/9,1m 18s,2.16666666666667,5,0h 12m,0,1,35,53,89,5m 12s,8.67857142857141,0:05:40,58,3,28,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
2/10,5m 16s,8.77777777777778,15,0h 4m,0,1,62,50,86,5m 15s,8.75793650793649,0:05:42,57,3,24,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
2/11,4m 1s,6.69444444444444,15,0h 4m,0,3,52,57,93,4m 58s,8.27380952380951,0:05:33,57,3,23,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
2/12,2m 41s,4.47222222222222,8,0h 7m 30s,0,2,49,53,89,4m 57s,8.24206349206348,0:05:33,55.8571428571429,2,20,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
2/13,1m 20s,3.33333333333333,9,4m 26s 667ms,0,2,14,56,92,3m 55s,6.69047619047618,0:05:43,56.1428571428571,2,17,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,40m
2/14,5m 26s,9.05555555555556,18,0h 3m 20s,0,5,64,57,93,3m 57s,6.74206349206349,0:05:25,55.8571428571429,2,20,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
2/15,2m 26s,4.05555555555556,7,0h 8m 34s 286ms,0,2,45,51,87,3m 13s,5.50793650793651,0:06:16,53.8571428571429,0,16,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
2/16,2m 38s,4.38888888888889,8,0h 7m 30s,0,1,47,52,88,3m 24s,5.82539682539683,0:05:37,53.7142857142857,0,16,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
2/17,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
2/18,1m 9s,1.91666666666667,5,0h 12m,0,1,31,52,88,2m 37s,4.53703703703704,0:07:13,53.5,0,13,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
2/19,3m 42s,6.16666666666667,9,0h 6m 40s,1,1,75,62,98,2m 47s,4.81944444444445,0:07:05,55,1,12,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
2/20,6m 7s,10.1944444444444,18,0h 3m 20s,0,2,64,55,91,3m 35s,5.96296296296296,0:06:54,54.8333333333333,1,12,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
2/21,9m 29s,15.8055555555556,19,0h 3m 9s 474ms,0,9,243,58,94,4m 15s,7.08796296296297,0:06:52,55,1,16,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
2/22,57s,1.58333333333333,6,0h 10m,0,1,13,57,93,4m 0s,6.67592592592593,0:07:07,56,1,15,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
2/23,1m 32s,2.55555555555556,6,0h 10m,0,1,34,50,86,3m 49s,6.37037037037037,0:07:32,55.6666666666667,1,15,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
2/24,7m 40s,12.7777777777778,16,0h 3m 45s,3,5,112,70,106,4m 22s,7.28571428571429,0:06:59,57.7142857142857,4,20,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
2/25,2m 47s,4.63888888888889,10,0h 6m,1,2,51,61,97,4m 36s,7.67460317460318,0:06:08,59,5,21,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
2/26,5m 17s,8.80555555555556,19,0h 3m 9s 474ms,1,9,40,69,105,4m 50s,8.05158730158731,0:05:38,60,5,29,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
2/27,2m 35s,4.30555555555556,12,0h 5m,0,2,44,55,91,4m 20s,7.21031746031747,0:05:52,60,5,29,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
2/28,2m 36s,4.33333333333333,10,0h 6m,2,2,44,61,97,3m 21s,5.57142857142858,0:06:16,60.4285714285714,7,22,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
3/1,1m 2s,1.72222222222222,6,0h 10m,0,2,22,57,93,3m 21s,5.59126984126985,0:06:16,60.4285714285714,7,23,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
3/2,2m 31s,4.19444444444444,5,0h 12m,0,1,71,52,88,3m 30s,5.82539682539683,0:06:33,60.7142857142857,7,23,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
3/3,3m 29s,5.80555555555556,13,0h 4m 36s 923ms,0,2,31,52,88,2m 54s,4.82936507936508,0:06:41,58.1428571428571,4,20,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
3/4,3m 4s,5.11111111111111,10,0h 6m,0,2,68,54,90,2m 56s,4.8968253968254,0:06:41,57.1428571428571,3,20,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
3/5,,,,,,,,,,,,,,,,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
3/6,1m 13s,2.02777777777778,6,0h 10m,0,3,23,56,92,2m 19s,3.86574074074074,0:08:06,55.3333333333333,2,12,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
3/7,2m 13s,3.69444444444444,8,0h 7m 30s,1,2,30,60,96,2m 15s,3.75925925925926,0:08:21,55.1666666666667,1,12,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
3/8,1m 5s,1.80555555555556,6,0h 10m,0,1,32,53,89,2m 16s,3.77314814814815,0:08:21,54.5,1,11,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
3/9,1m 59s,3.30555555555556,8,0h 7m 30s,1,2,37,60,96,2m 11s,3.625,0:07:36,55.8333333333333,2,12,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
3/10,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
3/11,22s,0.611111111111111,3,0h 20m,0,1,9,45,81,1m 22s,2.28888888888889,0:11:00,54.8,2,9,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
3/12,1m 16s,2.11111111111111,4,0h 15m,0,1,40,52,88,1m 21s,2.25925925925926,0:11:40,54.3333333333333,2,10,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
3/13,1m 50s,3.05555555555556,6,0h 10m,0,1,29,52,88,1m 28s,2.43055555555556,0:11:40,53.6666666666667,2,8,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
3/14,4m 44s,7.88888888888889,13,0h 4m 36s 923ms,0,2,62,50,86,1m 53s,3.12962962962963,0:11:11,52,1,8,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
3/15,26s,0.722222222222222,3,0h 20m,0,1,12,52,88,1m 46s,2.94907407407408,0:12:51,51.8333333333333,1,8,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
3/16,3m 37s,6.02777777777778,7,0h 8m 34s 286ms,0,1,80,50,86,2m 3s,3.40277777777778,0:13:02,50.1666666666667,0,7,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
3/17,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
3/18,,,,,,,,,,,,,,,,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
3/19,3m 16s,5.44444444444444,8,0h 7m 30s,0,1,49,53,89,2m 47s,4.62777777777778,0:10:08,51.4,0,6,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
3/20,,,,,,,,,,,,,,,,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
3/21,3m 2s,5.05555555555556,12,0h 5m,0,1,48,55,91,2m 35s,4.3125,0:10:16,52.5,0,4,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
3/22,,,,,,,,,,,,,,,,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
3/23,3m 16s,5.44444444444444,9,0h 6m 40s,0,0,128,49,85,3m 11s,5.31481481481481,0:06:23,52.3333333333333,0,2,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
3/24,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
3/25,1m 28s,2.44444444444444,7,0h 8m 34s 286ms,0,2,30,55,91,2m 46s,4.59722222222222,0:06:56,53,0,4,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
3/26,,,,,,,,,,,,,,,,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
3/27,3m 4s,5.11111111111111,13,0h 4m 36s 923ms,0,2,39,54,90,2m 43s,4.51388888888889,0:06:13,53.25,0,5,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
3/28,5m 36s,9.33333333333333,24,0h 2m 30s,3,9,32,62,98,3m 21s,5.58333333333333,0:05:35,55,3,13,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
3/29,2m 9s,3.58333333333333,6,0h 10m,0,1,50,56,92,3m 7s,5.18333333333333,0:06:28,55.2,3,14,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
3/30,2m 4s,3.44444444444444,10,0h 6m,0,0,23,49,85,2m 52s,4.78333333333333,0:06:20,55.2,3,14,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
3/31,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
4/1,,,,,,,,,,,,,,,,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
4/2,5m 33s,9.25,14,0h 4m 17s 143ms,0,7,46,58,94,3m 41s,6.14444444444444,0:05:29,55.8,3,19,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
4/3,5m 37s,9.36111111111111,16,0h 3m 45s,1,4,59,61,97,4m 12s,6.99444444444444,0:05:18,57.2,4,21,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
4/4,9m 46s,16.2777777777778,24,0h 2m 30s,2,8,126,62,98,5m 2s,8.38333333333334,0:05:18,57.2,3,20,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
