,Day,,,,,,,,,Last week,,,,,,,Day of Week,,,,,,
Date,Time,Percent,#,Spacing,# >60 dB,# >50 dB,Longest,Loudest,dB at Source,Avg time,Avg Percent,Avg Spacing,Avg dB,Total >60 dB,Total >50 dB,Day of Week,dB,Time,%,#,>50,>60,
9/10,2m 0s,3.33333333333333,9,0h 6m 40s,1,2,34,64,100,2m 43s,4.51984126984127,0:06:37,93.5714285714286,2,9,Wednesday,57.2380952380952,,,,,,
9/11,2m 50s,4.72222222222222,12,0h 5m,1,3,83,62,98,2m 44s,4.55952380952381,0:06:33,94.7142857142857,3,11,Thursday,56.5652173913043,,,,,,
9/12,5m 37s,9.36111111111111,21,0h 2m 51s 429ms,2,6,65,72,108,3m 10s,5.26587301587302,0:06:00,96.2857142857143,4,16,Friday,57.6,,,,,,
9/13,3m 59s,6.63888888888889,17,0h 3m 31s 765ms,1,8,32,61,97,3m 1s,5.01587301587302,0:05:48,60.8571428571429,5,23,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
9/14,3m 6s,5.16666666666667,11,0h 5m 27s 273ms,0,2,45,54,90,2m 58s,4.94047619047619,0:05:51,60.7142857142857,5,24,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
9/15,1m 56s,3.22222222222222,5,0h 12m,1,3,50,63,99,2m 59s,4.96428571428571,0:06:09,61.2857142857143,6,26,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
9/16,1m 2s,1.72222222222222,4,0h 15m,0,2,19,53,89,2m 56s,4.88095238095238,0:07:13,61.2857142857143,6,26,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
9/17,3m 1s,5.02777777777778,11,0h 5m 27s 273ms,2,6,51,66,102,3m 4s,5.12301587301587,0:07:03,61.5714285714286,7,30,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
9/18,1m 27s,2.41666666666667,8,0h 7m 30s,1,3,24,60,96,2m 53s,4.79365079365079,0:07:24,61.2857142857143,7,30,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
9/19,3m 31s,5.86111111111111,15,0h 4m,0,4,25,57,93,2m 35s,4.29365079365079,0:07:34,59.1428571428571,5,28,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
9/20,2m 38s,4.38888888888889,11,0h 5m 27s 273ms,0,3,30,56,92,2m 23s,3.97222222222222,0:07:50,58.4285714285714,4,23,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
9/21,2m 22s,3.94444444444444,7,0h 8m 34s 286ms,0,4,41,57,93,2m 17s,3.79761904761905,0:08:17,58.8571428571429,4,25,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
9/22,1m 7s,1.86111111111111,4,0h 15m,0,2,27,56,92,2m 10s,3.6031746031746,0:08:43,57.8571428571429,3,24,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
9/23,4m 12s,7,16,0h 3m 45s,1,5,52,60,96,2m 37s,4.35714285714286,0:07:06,58.8571428571429,4,27,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
9/24,1m 26s,2.38888888888889,6,0h 10m,0,2,52,53,89,2m 23s,3.98015873015873,0:07:45,57,2,23,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
9/25,3m 9s,5.25,12,0h 5m,0,4,41,54,90,2m 38s,4.38492063492063,0:07:24,56.1428571428571,1,24,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
9/26,2m 34s,4.27777777777778,13,0h 4m 36s 923ms,0,4,39,54,90,2m 30s,4.15873015873016,0:07:29,55.7142857142857,1,24,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
9/27,5m 53s,9.97175141242938,16,3m 41s 250ms,1,5,72,69,105,2m 58s,4.95628194780737,0:07:14,57.5714285714286,2,26,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,59m
